id;title;date;
0;Центральний парк культури і відпочинку;;
1;Спасо-Преображенський собор;;
2;Черниговский областной художественный музей;;
3;Чернігівський літературно-меморіальний музей-заповідник М. М. Коцюбинського;;
4;Регіональний ландшафтний парк «Ялівщина»;;
5;П'ятницька церква (Чернігів);;
6;Сосницькій бібліотеці Карпинського 148 років;;
7;Правила поводження на замерзлих водоймах;;
8;Чернігів запалив вогні новорічної ялинки 1.12.2020;;
9;У Борзні відкрито хокейний сезон;;
10;ЧЕРНІГІВСЬКИЙ АВТОЗАВОД БУДУВАТИМЕ ТРАМВАЇ.;;
11;На Чернігівщині модернізують приймальні відділення 9-ти опорних лікарень;;
12;Голубі озера краще місце для відпочинку на Чернігівщині;;
13;Сосницька колядка;2021-01-23 16:06:30;
14;Якість води в річках Чернігівщини у межах норми;2021-01-27 13:41:30;
15;На відкритому зимовому чемпіонаті України наші стрілки завоювали 7 медалей;2021-02-14 18:01:47;
16;15 років Мезинському національному природному парку;2021-02-14 18:39:47;
17;Скільки диких тварин на Чернігівщині;2021-02-15 06:01:40;
18;Зміни автобусних маршрутів м. Чернігів;2021-03-05 11:16:12;
19;Скільки коштує земля на Чернігівщині?;2021-03-10 09:41:32;
20;Фермер з Чернігівщині зібрав трактор своїми руками;2021-03-10 10:09:27;
21;В стінах старої лікарні на Чернігівщині знайшли ікони;2021-03-10 10:36:45;
22;Масляна або свято Колодія у Чернігові;2021-03-11 09:51:07;
23;Як святкуватимуть Купала в Чернігові;2021-07-06 12:28:18;
24;Старанним учням Чернігова доплати;2021-07-06 12:52:07;
25;Чернігівець Юрій Вірич – чемпіон;2021-07-06 13:06:31;
26;Двори Чернігова звільняють від незаконних гаражів;2021-07-06 13:18:44;
27;Погода б’є рекорди;2021-07-06 13:31:23;
28;Нове приміщення управління поліції м.Чернігова;2021-07-13 09:45:27;
29;"Фестиваль авторської пісні ""На голубих озерах""";2021-07-13 10:02:05;
30;"В Украине обсуждают введение ""социального рейтинга"", как в Китае";2021-07-14 12:59:49;
31;Експертно-технічний центр у Чернігові хочуть продати.;2021-07-16 10:34:28;
32;Чернігів туристичний;2021-07-19 07:14:04;
33;8.08.2021 Фестиваль близнюків в Чернігові;2021-08-05 09:17:28;
34;Продаж Чернігівської землі;2021-08-05 09:27:17;
35;Туристичний велосипедний маршрут на Чернігівщині;2021-08-05 09:38:31;
36;Кожна третя родина виховує дитину до 18 років;2021-08-05 09:45:25;
37;В Чернігвській ОДА оголосили конкурс;2021-08-05 08:52:21;
38;Кроманьйонці на березі Десни;2021-08-11 12:48:58;
39;Фестиваль молока в Чернігові;2021-08-11 13:23:00;
40;Чернігівський поліцейський на Чемпіонаті з рукопашного бою;2021-08-11 14:45:06;
41;Чемпіонат з біатлону стартував у Чернігові;2021-08-11 14:57:34;
42;Борщ-Fest у Городищі;2021-08-12 08:19:18;
43;Україна крокує до зірок;2021-08-13 06:38:47;
44;"День тіста у ДНЗ №21 ""Дзвіночок""";2021-08-13 07:01:43;
45;Сім’я мандрує Чернігівщиною на велосипедах.;2021-08-13 12:16:29;
46;Три вакансії в заклади освіти Чернігова;2021-08-14 04:52:27;
47;Биогазовая станция в селе Черный Рог;2021-08-14 05:11:57;
48;«Борщ-Fest» відбувся 14.08.2021 у Городищі Коропського району;2021-08-15 10:33:14;
49;Фестиваль молока відбувся в Чернігові;2021-08-15 20:11:04;
50;В Іванівці на Маковія презентували народний мюзікл;2021-08-16 09:51:38;
51;Книги контрабандою….;2021-08-16 11:58:14;
52;В Чернігові шукають педагогів;2021-08-17 08:08:02;
53;Як харчуються жителі Чернігівщини;2021-08-17 08:27:36;
54;Подорожчення проізду в Чернігові;2021-08-17 09:29:21;
55;Космос на кізякі не міняємо - Україна працює на космос;2021-08-18 09:53:38;
56;Фотоконкурс від Чернгівської бібліотеки ім. В.Г. Короленка;2021-08-18 10:23:05;
57;Чи буде нове життя в ніжинського аеродрому?;2021-08-18 10:58:43;
58;Спасівьский ярмарок у Бахмачі;2021-08-19 08:40:11;
59;Як зміниться обличчя Чернігова;2021-08-19 09:41:01;
60;Рекомендации опытного ветеринара: как правильно ухаживать за домашними животными;2021-08-20 07:08:21;
61;Свіжі вакансії від Чернігівського центру зайнятості;2021-08-20 07:34:25;
62;"Чи відновлять потяг ""Чернігів - Прилуки""";2021-08-20 09:17:56;
63;У СТАРОСІЛЛІ ТА АНДРІЇВЦІ ВПЕРШЕ СВЯТКУВАЛИ ДЕНЬ СЕЛА;2021-08-20 11:05:19;
64;В Нидерландах банки начали блокировать счета несогласных с вакцинацией;2021-08-20 18:34:05;
65;Виставка у національному архітектурному-історичному заповіднику «Чернігів стародавній»;2021-08-21 16:27:11;
66;Дачный автобус на Березанку;2021-08-21 18:48:21;
67;Мена якою її бачать звичайні люди;2021-08-22 11:43:08;
68;Міссіс незалежність з Семенівки (фотозвіт);2021-08-23 05:35:51;
69;На Менщині аграрії залізли на умовну прибрежну захистну смугу;2021-08-23 05:54:53;
70;Теплова карта Чернігова;2021-08-23 09:16:12;
71;НЕ КИНЕМО СВОЇХ!!!!;2021-08-23 18:16:36;
72;Summer Fest 2021 Городня;2021-08-24 07:50:47;
73;до 1 вересня триває конкурс Молодий вчений року;2021-08-24 08:55:52;
74;Рецепт рыбы в чешуе;2021-08-25 11:45:16;
75;Новий альбом «Light it Bright» від чернігівського рок гурту The Streechers;2021-08-25 17:45:38;
76;"ОГОЛОШЕНО КОНКУРС ""Музика осені 2021""";2021-08-26 08:10:22;
77;Під загрозою реалізація врожаю на Чернігівщині;2021-08-26 08:47:13;
78;ОСТОРОЖНО! Зубная паста;2021-08-26 14:18:04;
79;Так не має бути;2021-08-27 04:19:30;
80;Які школи на Чернігівщині найкращі;2021-08-27 09:58:14;
81;Reuters: регулятор ЕС изучает инцидент с наличием примесей в вакцинах Moderna в Японии;2021-08-27 11:24:40;
82;Розкрадання лісу в Сосниці;2021-08-27 13:58:19;
83;БОГАТИР-FEST 2021 фотозвіт;2021-08-29 10:06:54;
84;5 нових прем’єр готує Чернігівський Драмтеатр в цьому сезоні;2021-08-30 04:07:04;
85;Фермери турбуються що в них відберуть землю;2021-08-30 06:50:48;
86;Ставки каналізаційних очисних споруд Чернігова відновлять;2021-08-30 13:38:55;
87;Велике будівництво швидкісної магістралі;2021-08-30 14:13:21;
88;Молодь запрошують до участь до участі у конкурсі з екології;2021-08-31 05:37:18;
89;Наслідки негоди на Чернігівщині;2021-08-31 06:22:42;
90;"Фестиваль ""Життя в стилі Еко""";2021-08-31 19:44:14;
91;Новий навчальний рік радощі й перешкоди;2021-09-01 10:06:16;
92;В Україні стартувала податкова амністія;2021-09-01 12:12:02;
93;Єдиний квиток в Чернігові та 35 маршрут;2021-09-01 13:44:49;
